285	  0.081696	 -0.350250	  0.027512	  5.842239	  2.045120	  8.143417
290	  0.081696	 -0.350250	  0.027512	  5.847000	  2.014175	  8.029160
295	  0.081696	 -0.358795	  0.026443	  5.870804	  1.987991	  7.883957
300	  0.084366	 -0.372147	  0.022705	  5.927933	  1.980850	  7.960129
305	  0.087570	 -0.387634	  0.021637	  5.968399	  1.995132	  7.886337
310	  0.089706	 -0.411133	  0.019501	  5.963638	  2.030838	  7.843491
315	  0.089706	 -0.436234	  0.014694	  5.827957	  2.009415	  7.862534
320	  0.089172	 -0.466675	  0.002411	  5.894608	  2.026077	  7.738754
332	  0.085434	 -0.500320	 -0.009872	  5.861282	  2.080826	  7.714951
332	  0.082764	 -0.532364	 -0.022690	  5.889847	  2.149857	  7.748276
335	  0.056595	 -0.592178	 -0.038712	  5.954117	  2.147476	  7.812546
340	  0.041107	 -0.613007	 -0.039246	  6.046951	  2.173660	  7.819687
345	  0.017075	 -0.635437	 -0.038712	  6.061234	  2.137955	  7.867294
350	 -0.001083	 -0.645584	 -0.035507	  6.187393	  2.185562	  7.867294
356	 -0.026184	 -0.658401	 -0.037109	  6.342117	  2.152237	  7.955368
360	 -0.042740	 -0.667480	 -0.042450	  6.332596	  2.309341	  7.869675
365	 -0.054489	 -0.674957	 -0.049927	  6.296890	  2.423599	  7.795883
370	 -0.058228	 -0.681366	 -0.065414	  6.337357	  2.387894	  7.684006
375	 -0.053955	 -0.685104	 -0.074493	  6.342117	  2.359329	  7.598312
380	 -0.039536	 -0.682968	 -0.085709	  6.463516	  2.314102	  7.488815
386	 -0.021912	 -0.669617	 -0.094254	  6.532547	  2.261734	  7.526901
391	 -0.002151	 -0.632233	 -0.097458	  6.646805	  2.235550	  7.657822
396	  0.019745	 -0.576691	 -0.099594	  6.720596	  2.295059	  7.743515
401	  0.041107	 -0.500320	 -0.102798	  6.841995	  2.273636	  7.898239
406	  0.054993	 -0.415939	 -0.099594	  6.884842	  2.211746	  8.038681
411	  0.068878	 -0.324615	 -0.093185	  6.949112	  2.128433	  8.191025
416	  0.079559	 -0.238098	 -0.086777	  7.011002	  2.083206	  8.198166
421	  0.085434	 -0.155319	 -0.078232	  7.032425	  2.064163	  8.205307
426	  0.083832	 -0.081619	 -0.066483	  6.939590	  2.052261	  8.152939
431	  0.091843	 -0.021271	 -0.055267	  6.856277	  2.037979	  8.088669
436	  0.092377	  0.016113	 -0.048859	  6.780106	  2.023697	  8.014877
441	  0.099319	  0.038544	 -0.045120	  6.608719	  2.018936	  7.900620
446	  0.103058	  0.047089	 -0.051529	  6.482559	  2.076065	  7.874435
451	  0.110535	  0.039078	 -0.063278	  6.439713	  2.135574	  7.788742
456	  0.115341	  0.013977	 -0.084641	  6.358780	  2.114151	  7.624496
461	  0.125488	 -0.018600	 -0.110275	  6.323074	  2.130814	  7.629257
466	  0.140976	 -0.060791	 -0.138046	  6.284988	  2.085587	  7.612595
471	  0.154861	 -0.105118	 -0.159943	  6.261185	  2.104630	  7.576889
476	  0.164474	 -0.153717	 -0.185043	  6.256424	  1.997513	  7.598312
481	  0.176758	 -0.199646	 -0.204803	  6.292130	  1.959427	  7.612595
486	  0.183701	 -0.246643	 -0.220291	  6.380203	  1.954666	  7.588791
491	  0.190643	 -0.284027	 -0.227768	  6.401627	  1.909439	  7.664963
496	  0.196518	 -0.312866	 -0.232040	  6.461136	  1.938004	  7.714951
502	  0.195984	 -0.327820	 -0.232040	  6.470657	  1.876114	  7.731613
506	  0.194382	 -0.340103	 -0.226700	  6.496841	  1.814224	  7.795883
511	  0.187973	 -0.339035	 -0.217621	  6.553970	  1.804703	  7.812546
516	  0.185303	 -0.323547	 -0.206406	  6.558731	  1.797562	  7.838730
521	  0.177826	 -0.301651	 -0.195724	  6.553970	  1.861832	  7.793503
527	  0.174622	 -0.276016	 -0.186111	  6.473038	  1.902298	  7.803024
532	  0.174088	 -0.245041	 -0.177567	  6.463516	  1.909439	  7.783981
